,WORD,POS_TAG,COUNT,COUNT_ADJUST,LOG10
0,어,EF,718214,3188357.15,6.5035669637863425
1,어요,EF,451777,2005567.182142857,6.302237214482831
2,이,VCP,447421,1986229.6535714285,6.298029461436625
3,가,JKS,442578,1964730.1928571428,6.293302919190555
4,아,EF,403351,1790590.3321428571,6.252996235295759
5,에,JKB,345299,1532880.9178571429,6.185508417916153
6,었,EP,331700,1472511.0714285714,6.168058568818908
7,이,JKS,327686,1454691.7785714285,6.1627709843558085
8,는,JX,326976,1451539.8857142855,6.1618289739655765
9,았,EP,297997,1322893.825,6.121524989261574
10,거,NNB,293649,1303591.8107142856,6.11514162352311
11,도,JX,262274,1164309.2214285713,6.066068337122723
12,나,NP,255480,1134148.7142857143,6.054670004785373
13,고,EC,234432,1040710.6285714285,6.017329989947857
14,야,EF,231515,1027761.232142857,6.011892231772998
15,하,VV,229755,1019948.0892857142,6.008578068712444
16,아요,EF,204549,908051.4535714285,5.958110457958343
17,있,VA,196371,871746.975,5.940390449029847
18,는,ETM,187722,833351.5928571428,5.920828269860641
19,을,JKO,186169,826457.3821428571,5.9172204632584675
20,ㄹ,ETM,180898,803057.9071428571,5.904746862645887
21,가,VV,179658,797553.1928571428,5.901759657991216
22,되,VV,175636,779698.3857142857,5.891926635059326
23,어,EC,167708,744503.7285714286,5.871866877096847
24,면,EC,166482,739061.1642857143,5.868680381848902
25,아,EC,160238,711342.2642857142,5.852078613000919
26,먹,VV,152551,677217.475,5.830728156167779
27,ㄴ,ETM,149076,661790.9571428571,5.820720828569091
28,안,MAG,148330,658479.25,5.818542094024477
29,엄마,NNG,145542,646102.5214285714,5.810301435886753
30,우리,NP,142949,634591.4535714285,5.802494218896189
31,를,JKO,133358,592014.2642857142,5.77233217095593
32,은,JX,130411,578931.6892857143,5.7626273224209275
33,다,EF,122904,545605.9714285714,5.7368791148454275
34,주,VX,116656,517869.31428571424,5.714220178190694
35,게,EC,112764,500591.6142857143,5.699483570202399
