,WORD,POS_TAG,COUNT,COUNT_ADJUST,LOG10
0,고,EC,577291,2432449.874576271,6.3860438995388575
1,이,JKS,492560,2075430.779661017,6.317108253246907
2,하,VV,428425,1805194.152542373,6.256523918066204
3,에,JKB,382976,1613692.0949152543,6.207820671503774
4,이,VCP,371047,1563428.545762712,6.194078037232234
5,도,JX,368993,1554773.8949152543,6.191667240095689
6,가,JKS,367400,1548061.6949152541,6.189788264633271
7,거,NNB,338264,1425295.4305084746,6.153904892794705
8,는,JX,332011,1398948.0440677966,6.14580158540415
9,는,ETM,329459,1388195.040677966,6.142450488553561
10,을,JKO,312741,1317752.7559322035,6.119833933166181
11,았,EP,250380,1054990.9830508474,6.023248747758834
12,게,EC,229611,967479.5694915254,5.985641802682394
13,ㄴ,ETM,210953,888862.979661017,5.948834818604095
14,를,JKO,209134,881198.5152542372,5.945073756729484
15,있,VA,200292,843942.2237288136,5.926312715850018
16,가,VV,200040,842880.406779661,5.925765958539112
17,었,EP,198803,837668.2338983051,5.923072046414994
18,되,VV,183473,773074.3694915255,5.8882212749095295
19,아,EC,178608,752575.4033898305,5.876550020060603
20,들,XSN,175246,738409.4169491525,5.868297226618851
21,어,EF,174900,736951.5254237289,5.867438922142158
22,면,EC,173792,732282.9016949153,5.8646788937760155
23,은,JX,173626,731583.4508474576,5.86426387273806
24,아서,EC,162927,686502.5796610169,5.836642173518062
25,ㄹ,ETM,160515,676339.4745762711,5.8301647357771795
26,어,EC,156301,658583.5355932204,5.818610869269314
27,는데,EC,153793,648015.9288135594,5.811585681350236
28,그렇,VA,145672,613797.6135593221,5.788025195565285
29,것,NNB,138777,584745.1220338983,5.766966607595176
30,나,NP,132740,559307.8644067796,5.747650925969506
31,같,VA,130365,549300.6610169491,5.739810121642587
32,안,MAG,128026,539445.1457627119,5.731947289419756
33,먹,VV,125436,528532.0271186441,5.723071309106958
34,보,VV,120134,506191.73559322034,5.704315050313425
35,좋,VA,115562,486927.34237288137,5.687464162116773
36,니까,EC,113427,477931.39322033897,5.679365558360461
37,그,MMD,110963,467549.18305084744,5.669827302490003
38,아,EF,110103,463925.5220338983,5.666448265111124
39,은,ETM,107232,451828.39322033897,5.654973518818659
40,우리,NP,105962,446477.1728813559,5.649799259540153
41,잖아,EF,104702,441168.0881355932,5.644604090241732
42,더라고,EF,103477,436006.47796610167,5.639492941846641
43,그래서,MAJ,101760,428771.79661016946,5.63222621096782
44,지,EC,99930,421060.9830508474,5.624345000074321
45,그러,VV,97705,411685.81355932204,5.6145659017338065
46,그거,NP,97173,409444.2,5.612194723475381
47,그런,MMD,93335,393272.5593220339,5.594693644475401
48,지,EF,91407,385148.81694915256,5.585628568189058
49,보,VX,90318,380560.2508474576,5.5804234246784805
50,또,MAG,88617,373392.98644067795,5.572166156198174
51,사람,NNG,88601,373325.5694915254,5.572087736266458
52,야,EF,87924,370472.9898305085,5.568756550250112
53,내,NP,85614,360739.66779661016,5.557193901004123
54,에서,JKB,85258,359239.6406779661,5.555384253323275
55,하,VX,83844,353281.66779661016,5.5481211019654495
56,많이,MAG,83741,352847.6711864407,5.547587255412732
57,때,NNG,82847,349080.7491525424,5.542925899323062
58,어서,EC,82550,347829.3220338983,5.541366190262294
59,기,ETN,79894,336638.10847457626,5.527163277900692
60,뭐,IC,78257,329740.51186440676,5.518172307768923
61,으로,JKB,77157,325105.5966101695,5.512024445829541
62,겠,EP,74958,315839.97966101696,5.499467103022508
63,없,VA,72124,303898.75254237285,5.482728917371566
64,의,JKG,70963,299006.8101694915,5.475681079914227
65,이제,MAG,69298,291991.2338983051,5.465369813343141
66,근데,MAJ,67351,283787.43389830505,5.452993160996543
67,오,VV,63474,267451.4644067797,5.427244980178474
68,을,ETM,63347,266916.34237288137,5.426375164964294
69,ㄴ,JX,62006,261265.9593220339,5.417082828626478
70,좀,MAG,61836,260549.65423728814,5.415890501172181
71,수,NNB,61741,260149.3661016949,5.41522277200076
72,다,MAG,61449,258919.00677966102,5.413163932383665
73,거든,EF,60684,255695.6338983051,5.407723312343651
